business_id,date
1641,2016-09-01
1674,2016-04-29
1685,2016-04-19
1685,2016-04-19
1692,2016-08-09
1692,2016-08-09
1692,2016-08-09
1703,2016-05-02
1703,2016-05-02
1710,2016-04-07
1710,2016-04-07
1724,2016-03-09
1724,2016-03-09
1724,2016-03-09
1734,2016-03-11
1734,2016-03-11
1741,2016-05-20
1753,2016-06-07
1753,2016-06-07
1757,2016-08-04
1757,2016-08-04
1768,2016-07-05
1778,2016-09-06
1791,2016-05-12
1791,2016-05-12
1791,2016-05-12
1792,2016-06-03
1792,2016-06-03
1797,2016-07-05
1815,2016-07-29
1823,2016-09-01
1823,2016-09-01
1829,2016-05-16
1830,2016-04-25
1830,2016-04-25
1833,2016-04-13
1833,2016-04-13
1833,2016-04-13
1836,2016-05-02
1837,2016-07-22
1843,2016-08-18
1843,2016-08-18
1844,2016-05-20
1852,2016-05-23
1870,2016-07-07
1870,2016-07-07
1870,2016-07-07
1880,2016-03-25
1880,2016-03-25
1894,2016-05-18
1896,2016-08-30
1896,2016-08-30
1903,2016-03-08
1903,2016-03-08
1903,2016-03-08
1921,2016-06-06
1921,2016-06-06
1922,2016-02-25
1930,2016-04-27
1930,2016-04-27
1942,2016-09-29
1942,2016-09-29
1942,2016-09-29
1942,2016-03-14
1942,2016-03-14
1950,2016-06-15
1952,2016-05-16
1959,2016-08-03
1959,2016-08-03
1968,2016-07-08
1968,2016-07-08
1968,2016-07-08
1972,2016-04-26
1972,2016-04-26
1977,2016-03-28
1989,2016-06-16
1992,2016-07-27
1992,2016-07-27
1992,2016-07-27
1992,2016-07-27
1994,2016-08-10
1994,2016-08-10
2004,2016-06-02
2008,2016-07-15
2008,2016-07-15
2012,2016-06-23
2012,2016-06-23
2027,2016-05-17
2027,2016-05-17
2031,2016-03-18
2031,2016-03-18
2039,2016-08-09
2047,2016-05-31
2050,2016-05-12
2051,2016-03-23
2055,2016-03-23
2055,2016-03-23
2057,2016-07-26
2066,2016-04-05
2066,2016-04-05
2066,2016-04-05
2070,2016-06-14
2070,2016-06-14
2070,2016-06-14
2070,2016-06-14
2094,2016-04-04
2107,2016-05-06
2107,2016-05-06
2110,2016-09-06
2110,2016-09-06
2110,2016-09-06
2110,2016-09-06
2110,2016-09-06
2131,2016-06-30
2134,2016-04-20
2134,2016-04-20
2143,2016-06-09
2143,2016-06-09
2172,2016-06-15
2175,2016-07-22
2189,2016-08-16
2189,2016-08-16
2193,2016-07-12
2193,2016-07-12
2193,2016-07-12
2193,2016-07-12
2216,2016-04-07
2216,2016-04-07
2219,2016-08-16
2219,2016-08-16
2223,2016-09-21
2223,2016-09-21
2223,2016-09-21
2233,2016-05-24
2234,2016-05-31
2240,2016-05-31
2240,2016-05-31
2245,2016-04-19
2249,2016-08-26
2249,2016-08-26
2256,2016-05-18
2256,2016-05-18
2261,2016-03-30
2262,2016-03-30
2263,2016-05-18
2263,2016-05-18
2263,2016-05-18
2263,2016-05-18
2266,2016-03-16
2280,2016-08-25
2280,2016-08-25
2280,2016-08-25
2282,2016-05-10
2282,2016-05-10
2292,2016-04-14
2292,2016-04-14
2299,2016-07-19
2309,2016-09-08
2309,2016-09-08
2318,2016-06-22
2331,2016-08-23
2331,2016-08-23
2331,2016-08-23
2331,2016-08-23
2334,2016-08-22
2336,2016-08-17
2336,2016-08-17
2336,2016-03-21
2336,2016-03-21
2336,2016-03-21
2347,2016-08-29
2347,2016-06-06
2356,2016-03-10
2369,2016-03-24
2369,2016-03-24
2369,2016-03-24
2374,2016-05-24
2387,2016-06-01
2387,2016-06-01
2418,2016-07-05
2421,2016-08-22
2428,2016-09-15
2428,2016-09-15
2428,2016-09-15
2447,2016-08-22
2447,2016-08-22
2454,2016-05-19
2454,2016-05-19
2455,2016-09-19
2455,2016-03-17
2483,2016-09-07
2497,2016-06-07
2519,2016-04-13
2535,2016-08-12
2542,2016-06-03
2542,2016-06-03
2553,2016-07-22
2559,2016-06-03
2559,2016-06-03
2589,2016-03-29
2596,2016-06-09
2596,2016-06-09
2599,2016-06-14
2599,2016-06-14
2601,2016-03-10
2622,2016-05-26
2622,2016-05-26
2632,2016-07-29
2646,2016-09-08
2646,2016-09-08
2659,2016-06-14
2659,2016-06-14
2659,2016-06-14
2690,2016-05-16
2692,2016-09-23
2692,2016-08-23
2692,2016-03-30
2692,2016-03-30
2716,2016-03-23
2716,2016-03-23
2717,2016-05-12
2717,2016-05-12
2717,2016-05-12
2724,2016-09-29
2724,2016-09-29
2725,2016-05-11
2739,2016-09-19
2739,2016-09-19
2739,2016-09-19
2750,2016-06-01
2758,2016-08-23
2758,2016-08-23
2758,2016-08-23
2764,2016-08-30
2764,2016-08-30
2764,2016-08-30
2764,2016-08-30
2764,2016-08-30
2766,2016-05-02
2766,2016-05-02
2768,2016-03-15
2768,2016-03-15
2777,2016-06-03
2778,2016-09-21
2778,2016-09-21
2785,2016-06-28
2785,2016-06-28
2785,2016-06-28
2798,2016-05-24
2798,2016-05-24
2807,2016-08-11
2808,2016-04-26
2808,2016-04-26
2808,2016-04-26
2821,2016-06-28
2836,2016-09-28
2836,2016-09-28
2841,2016-05-06
2843,2016-02-23
2854,2016-05-13
2854,2016-05-13
2866,2016-09-21
2883,2016-06-06
2885,2016-08-24
2885,2016-08-24
2902,2016-07-01
2902,2016-07-01
2917,2016-03-11
2919,2016-03-11
2919,2016-03-11
2926,2016-03-22
2933,2016-08-02
2934,2016-03-07
2934,2016-03-07
2941,2016-07-20
2941,2016-07-20
2941,2016-07-20
2941,2016-07-20
2942,2016-08-15
2942,2016-08-15
2943,2016-05-10
2943,2016-05-10
2952,2016-08-03
2955,2016-06-08
2957,2016-07-12
2969,2016-05-11
2969,2016-05-11
2970,2016-05-24
2972,2016-05-16
2972,2016-05-16
2973,2016-02-24
2974,2016-07-22
2974,2016-05-27
2980,2016-05-09
3006,2016-06-28
3006,2016-06-28
3014,2016-06-08
3016,2016-06-07
3016,2016-06-07
3016,2016-06-07
3016,2016-06-07
3019,2016-05-05
3021,2016-04-27
3025,2016-05-02
3025,2016-05-02
3029,2016-03-14
3029,2016-03-14
3029,2016-03-14
3029,2016-03-14
3031,2016-09-29
3031,2016-09-29
3031,2016-09-29
3031,2016-03-29
3038,2016-06-20
3043,2016-04-29
3046,2016-06-27
3048,2016-04-22
3050,2016-04-27
3053,2016-05-12
3055,2016-09-20
3065,2016-09-01
3065,2016-09-01
3073,2016-08-23
3073,2016-08-23
3073,2016-08-23
3076,2016-08-15
3076,2016-08-15
3076,2016-08-15
3084,2016-09-07
3084,2016-09-07
3095,2016-06-30
3102,2016-08-30
3115,2016-06-13
3121,2016-09-13
3122,2016-06-02
3123,2016-09-28
3123,2016-09-28
3133,2016-04-11
3155,2016-04-08
3160,2016-08-26
3160,2016-08-26
3160,2016-03-08
3160,2016-03-08
3160,2016-03-08
3161,2016-06-22
3167,2016-04-12
3167,2016-04-12
3167,2016-04-12
3186,2016-04-05
3196,2016-06-10
3211,2016-08-15
3211,2016-08-15
3218,2016-06-01
3228,2016-03-30
3237,2016-09-27
3237,2016-09-27
3237,2016-09-27
3237,2016-04-05
3237,2016-04-05
3241,2016-09-06
3241,2016-09-06
3241,2016-03-31
3241,2016-03-31
3241,2016-03-31
3252,2016-07-25
3252,2016-07-25
3252,2016-07-25
3253,2016-04-13
3253,2016-04-13
3256,2016-10-05
3280,2016-09-13
3280,2016-09-13
3280,2016-09-13
3285,2016-03-24
3285,2016-03-24
3286,2016-07-05
3286,2016-07-05
3296,2016-04-29
3299,2016-04-13
3324,2016-03-03
3325,2016-08-16
3325,2016-03-01
3325,2016-03-01
3325,2016-03-01
3329,2016-08-10
3335,2016-08-15
3338,2016-06-14
3338,2016-06-14
3350,2016-03-25
3350,2016-03-25
3394,2016-04-19
3405,2016-08-09
3420,2016-09-01
3425,2016-09-19
3429,2016-05-16
3432,2016-04-18
3432,2016-04-18
3433,2016-06-01
3437,2016-04-25
3443,2016-07-26
3444,2016-05-04
3449,2016-05-23
3456,2016-08-18
3456,2016-08-18
3456,2016-08-18
3456,2016-08-18
3476,2016-06-21
3480,2016-05-24
3480,2016-05-24
3482,2016-04-25
3491,2016-08-02
3491,2016-08-02
3491,2016-08-02
3497,2016-05-25
3498,2016-05-16
3504,2016-06-30
3522,2016-04-12
3522,2016-04-12
3524,2016-07-29
3528,2016-07-06
3529,2016-04-26
3547,2016-05-17
3547,2016-05-17
3550,2016-04-05
3550,2016-04-05
3571,2016-08-02
3571,2016-08-02
3571,2016-08-02
3571,2016-08-02
3591,2016-09-16
3591,2016-09-16
3607,2016-05-27
3611,2016-06-28
3611,2016-06-28
3614,2016-05-09
3614,2016-05-09
3614,2016-05-09
3616,2016-05-25
3616,2016-05-25
3623,2016-08-19
3639,2016-07-25
3643,2016-06-22
3649,2016-09-30
3649,2016-09-30
3649,2016-09-30
3665,2016-08-02
3665,2016-08-02
3665,2016-08-02
3665,2016-08-02
3676,2016-08-16
3693,2016-08-16
3693,2016-08-16
3727,2016-07-13
3727,2016-07-13
3727,2016-07-13
3728,2016-08-10
3728,2016-08-10
3728,2016-08-10
3738,2016-08-29
3738,2016-08-29
3757,2016-06-22
3757,2016-06-22
3816,2016-07-28
3816,2016-07-28
3816,2016-07-28
3817,2016-04-07
3817,2016-04-07
3834,2016-03-28
3834,2016-03-28
3834,2016-03-28
3859,2016-08-17
3861,2016-05-03
3861,2016-05-03
3862,2016-07-12
3862,2016-07-12
3862,2016-07-12
3868,2016-03-08
3869,2016-07-11
3870,2016-06-08
3870,2016-06-08
3870,2016-06-08
3871,2016-08-23
3875,2016-07-06
3875,2016-07-06
3875,2016-07-06
3875,2016-07-06
3877,2016-05-03
3881,2016-05-11
3885,2016-06-16
3885,2016-06-16
3895,2016-07-29
3895,2016-07-29
3895,2016-07-29
3910,2016-06-21
3910,2016-06-21
3910,2016-06-21
3920,2016-05-16
3920,2016-05-16
3936,2016-04-05
3948,2016-03-28
3953,2016-08-16
3953,2016-08-16
3953,2016-08-16
3955,2016-09-16
3955,2016-09-16
3955,2016-09-16
3982,2016-08-24
3982,2016-08-24
4068,2016-05-20
4071,2016-04-28
4072,2016-05-20
4072,2016-05-20
4127,2016-05-14
4127,2016-05-14
4145,2016-07-05
4158,2016-04-18
4249,2016-03-04
4421,2016-08-17
4421,2016-03-30
4449,2016-06-28
4449,2016-06-28
4461,2016-07-22
4476,2016-03-07
4502,2016-05-24
4502,2016-05-24
4509,2016-05-10
4519,2016-09-01
4519,2016-05-09
4538,2016-10-04
4538,2016-10-04
4538,2016-04-22
4544,2016-06-07
4545,2016-03-17
4546,2016-02-27
4555,2016-04-14
4590,2016-07-15
4590,2016-07-15
4590,2016-07-15
4590,2016-07-15
4607,2016-03-16
4607,2016-03-16
4607,2016-03-16
4607,2016-03-16
4614,2016-08-16
4614,2016-08-16
4614,2016-04-19
4620,2016-08-22
4620,2016-08-22
4621,2016-06-27
4621,2016-06-27
4621,2016-06-27
4622,2016-09-19
4622,2016-09-19
4622,2016-05-04
4622,2016-05-04
4622,2016-05-04
4622,2016-05-04
4623,2016-05-02
4638,2016-08-01
4638,2016-08-01
4638,2016-08-01
4642,2016-03-14
4642,2016-03-14
4642,2016-03-14
4643,2016-05-12
4643,2016-05-12
4650,2016-05-27
4654,2016-06-17
4654,2016-06-17
4654,2016-06-17
4665,2016-05-24
4667,2016-06-02
4670,2016-09-01
4670,2016-09-01
4670,2016-09-01
4670,2016-09-01
4670,2016-03-24
4670,2016-03-24
4683,2016-08-31
4686,2016-06-03
4686,2016-06-03
4694,2016-06-06
4702,2016-09-16
4703,2016-09-19
4703,2016-09-19
4703,2016-09-19
4705,2016-03-16
4705,2016-03-16
4706,2016-09-19
4706,2016-09-19
4716,2016-09-14
4718,2016-07-26
4734,2016-05-28
4734,2016-05-28
4734,2016-05-28
4734,2016-05-28
4753,2016-05-05
4753,2016-05-05
4754,2016-07-25
4754,2016-07-25
4754,2016-07-25
4762,2016-04-18
4774,2016-08-23
4774,2016-08-23
4774,2016-08-23
4777,2016-08-24
4777,2016-08-24
4782,2016-08-18
4782,2016-08-18
4787,2016-06-28
4789,2016-06-30
4789,2016-06-30
4791,2016-08-22
4791,2016-08-22
4797,2016-09-08
4797,2016-03-08
4798,2016-09-03
4803,2016-06-14
4803,2016-06-14
4803,2016-06-14
4803,2016-06-14
4804,2016-06-27
4804,2016-06-27
4806,2016-07-01
4824,2016-08-19
4842,2016-06-21
4842,2016-06-21
4846,2016-06-14
4846,2016-06-14
4850,2016-04-19
4859,2016-07-29
4859,2016-07-29
4874,2016-05-02
4874,2016-05-02
4893,2016-05-18
4893,2016-05-18
4914,2016-03-23
4917,2016-09-06
4917,2016-09-06
4917,2016-09-06
4922,2016-05-19
4932,2016-06-07
4932,2016-06-07
4935,2016-03-01
4944,2016-06-22
4957,2016-07-14
4960,2016-10-03
4978,2016-03-07
4986,2016-08-30
4986,2016-03-14
4986,2016-03-14
4986,2016-03-14
4986,2016-03-14
5010,2016-03-31
5011,2016-09-02
5016,2016-06-14
5016,2016-06-14
5017,2016-07-14
5025,2016-08-04
5038,2016-05-28
5038,2016-05-28
5039,2016-03-29
5071,2016-03-22
5071,2016-03-22
5074,2016-06-10
5074,2016-06-10
5084,2016-09-23
5090,2016-10-03
5090,2016-10-03
5090,2016-10-03
5090,2016-04-12
5090,2016-04-12
5090,2016-04-12
5090,2016-04-12
5090,2016-04-12
5096,2016-07-20
5150,2016-07-08
5150,2016-07-08
5256,2016-09-20
5256,2016-09-20
5257,2016-06-10
5258,2016-06-23
5268,2016-08-15
5291,2016-02-29
5297,2016-02-24
5307,2016-06-03
5310,2016-06-03
5310,2016-06-03
5441,2016-08-19
5564,2016-05-16
5913,2016-09-06
5913,2016-09-06
5913,2016-04-07
5925,2016-08-25
5925,2016-08-25
5925,2016-08-25
5925,2016-03-23
5925,2016-03-23
5927,2016-09-20
5927,2016-03-24
5938,2016-09-14
5938,2016-09-14
5938,2016-09-14
5942,2016-09-09
5942,2016-04-18
5950,2016-08-31
5950,2016-04-19
5952,2016-04-18
5959,2016-05-13
5959,2016-05-13
5960,2016-05-06
5961,2016-09-19
5961,2016-09-19
5970,2016-09-13
6500,2016-08-03
6620,2016-08-01
6620,2016-08-01
6643,2016-06-09
6643,2016-06-09
6643,2016-06-09
6643,2016-06-09
6734,2016-05-16
6800,2016-05-19
6860,2016-04-14
6860,2016-04-14
6860,2016-04-14
6912,2016-08-11
6912,2016-08-11
6912,2016-08-11
7033,2016-06-01
7055,2016-05-25
7055,2016-05-25
7055,2016-05-25
7055,2016-05-25
7105,2016-07-19
7216,2016-09-24
7216,2016-09-24
7216,2016-09-24
7243,2016-06-06
7276,2016-05-09
7361,2016-05-03
7372,2016-04-07
7475,2016-03-16
7482,2016-04-07
7488,2016-07-12
7488,2016-07-12
7493,2016-04-20
7512,2016-03-31
7512,2016-03-31
7527,2016-08-12
7530,2016-09-03
7538,2016-03-16
7561,2016-03-23
7571,2016-06-09
7571,2016-06-09
7575,2016-06-03
7575,2016-06-03
7610,2016-06-29
7617,2016-08-11
7618,2016-08-11
7643,2016-09-27
7643,2016-09-27
7643,2016-09-27
7643,2016-09-27
7643,2016-09-27
7643,2016-09-27
7652,2016-07-18
7652,2016-07-18
7652,2016-07-18
7655,2016-09-13
7664,2016-09-23
7678,2016-07-25
7678,2016-07-25
7678,2016-07-25
7678,2016-07-25
7711,2016-06-08
7711,2016-06-08
7711,2016-06-08
7715,2016-09-13
7736,2016-07-06
7736,2016-07-06
7736,2016-07-06
7745,2016-04-22
7747,2016-06-09
7761,2016-05-02
7762,2016-07-06
7762,2016-07-06
7771,2016-07-01
7778,2016-08-10
7786,2016-03-21
7880,2016-07-29
7997,2016-06-29
8202,2016-05-10
8202,2016-05-10
8249,2016-08-24
8948,2016-05-31
9164,2016-08-12
9164,2016-08-12
9208,2016-09-13
9232,2016-04-05
9298,2016-05-26
9328,2016-10-04
9599,2016-07-12
9631,2016-05-04
9679,2016-05-31
9679,2016-05-31
9710,2016-07-11
9727,2016-08-03
9745,2016-07-22
10083,2016-03-15
10102,2016-03-29
10102,2016-03-29
10131,2016-08-01
10170,2016-09-22
10332,2016-07-26
10332,2016-07-26
10332,2016-07-26
10332,2016-03-16
10332,2016-03-16
10363,2016-09-07
10376,2016-05-16
10470,2016-09-23
10470,2016-09-23
10540,2016-07-29
10615,2016-07-13
10625,2016-05-05
10625,2016-05-05
10876,2016-07-01
10877,2016-06-23
10877,2016-06-23
10877,2016-06-23
10931,2016-03-09
10931,2016-03-09
10986,2016-08-10
10990,2016-05-31
10990,2016-05-31
11018,2016-08-02
11304,2016-08-19
11304,2016-08-19
11416,2016-05-02
11568,2016-08-03
11860,2016-03-31
11860,2016-03-31
12344,2016-05-11
13426,2016-04-29
13427,2016-08-03
13671,2016-09-19
13814,2016-09-30
13814,2016-09-30
13814,2016-09-30
13814,2016-09-30
13814,2016-03-17
13831,2016-08-08
13831,2016-08-08
13965,2016-05-31
14071,2016-08-02
14075,2016-07-11
14568,2016-05-02
14568,2016-05-02
14568,2016-05-02
14577,2016-05-09
14743,2016-04-29
15055,2016-06-28
15120,2016-07-06
15806,2016-02-24
16432,2016-05-16
16441,2016-06-20
17411,2016-09-12
17411,2016-09-12
17411,2016-02-29
17411,2016-02-29
17411,2016-02-29
17522,2016-08-03
17523,2016-08-03
17523,2016-08-03
17523,2016-08-03
17570,2016-08-29
17723,2016-06-23
17779,2016-05-27
17779,2016-05-27
17933,2016-02-26
17933,2016-02-26
17947,2016-05-10
17947,2016-05-10
18047,2016-03-02
18079,2016-05-02
18126,2016-05-06
18268,2016-06-15
18310,2016-08-25
18403,2016-05-04
18403,2016-05-04
18443,2016-05-17
18443,2016-05-17
18443,2016-05-17
18443,2016-05-17
18480,2016-09-20
18480,2016-03-23
18480,2016-03-23
18480,2016-03-23
18480,2016-03-23
18581,2016-05-19
18606,2016-06-24
18686,2016-06-23
18686,2016-06-23
18728,2016-08-12
18728,2016-08-12
18755,2016-07-12
18767,2016-09-23
18767,2016-09-23
18767,2016-04-08
18800,2016-09-13
18800,2016-09-13
18800,2016-09-13
18800,2016-03-09
18800,2016-03-09
18805,2016-06-07
18824,2016-06-08
18824,2016-06-17
18826,2016-09-26
18826,2016-09-26
18870,2016-06-16
18870,2016-06-16
18874,2016-05-09
18981,2016-06-15
19002,2016-09-29
19002,2016-09-29
